   ID JPA3518 JPA3785 JPA3900 JPA4000 JPA4100 JPA4200 JPA4300 JPA4400 JPA4500 JPA4600 JPA4700 JPA4800 JPA4900 JPA5000 JPA5100 JPA5200 JPA5300 JPA5400 JPA5500 JPA5600 JPA5700 JPA5800 JPA5900 JPA6000 JPA6100 JPA6200 JPA6300 JPA6400
  53   0.005   0.008   0.009   0.009   0.008   0.008   0.009   0.008   0.008   0.009   0.008   0.008   0.007   0.008   0.008   0.009   0.007   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.009   0.008   0.007
  54 -18.287 -18.685 -18.898 -19.057 -19.152 -19.395 -19.534 -19.600 -19.656 -19.757 -19.900 -20.071 -20.215 -20.350 -20.592 -20.866 -20.941 -21.018 -21.046 -21.173 -21.334 -21.458 -21.502 -21.562 -21.659 -21.635 -21.686 -21.737
  54   0.009   0.014   0.014   0.014   0.015   0.014   0.013   0.014   0.014   0.014   0.014   0.014   0.014   0.015   0.014   0.014   0.013   0.014   0.014   0.014   0.014   0.014   0.014   0.013   0.013   0.014   0.015   0.012
  55 -17.973 -18.447 -18.624 -18.814 -19.001 -19.166 -19.365 -19.428 -19.495 -19.580 -19.715 -19.876 -19.969 -20.063 -20.177 -20.574 -20.766 -20.825 -20.894 -20.937 -21.095 -21.235 -21.335 -21.402 -21.431 -21.505 -21.507 -21.567
  55   0.005   0.008   0.009   0.009   0.008   0.007   0.008   0.007   0.009   0.008   0.008   0.008   0.009   0.008   0.009   0.009   0.009   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008
  56 -16.195 -16.339 -16.405 -16.665 -16.773 -16.988 -17.349 -17.646 -17.612 -17.715 -18.051 -18.391 -18.446 -18.611 -18.807 -18.971 -19.120 -19.339 -19.378 -19.449 -19.499 -19.601 -19.657 -19.887 -19.899 -20.008 -20.036 -20.155
  56   0.005   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.009   0.009   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.009   0.009   0.007   0.008   0.008   0.008   0.008
  57 -18.835 -19.130 -19.223 -19.383 -19.452 -19.508 -19.573 -19.672 -19.810 -19.995 -20.180 -20.328 -20.612 -20.730 -20.825 -20.853 -20.910 -21.072 -21.177 -21.234 -21.290 -21.353 -21.354 -21.401 -21.432 -21.471 -21.472 -21.547
  57   0.005   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.007   0.009   0.008   0.009   0.008   0.007   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008
  58 -18.311 -18.677 -18.866 -18.987 -19.205 -19.304 -19.367 -19.460 -19.566 -19.731 -19.871 -20.001 -20.144 -20.481 -20.654 -20.729 -20.801 -20.856 -21.017 -21.157 -21.249 -21.304 -21.361 -21.418 -21.425 -21.498 -21.510 -21.525
  58   0.001   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  59 -14.527 -14.480 -14.844 -15.130 -15.521 -15.870 -16.119 -16.380 -16.752 -16.928 -16.984 -17.177 -17.494 -17.727 -17.866 -18.062 -18.223 -18.345 -18.515 -18.754 -18.818 -18.917 -18.949 -19.080 -19.134 -19.298 -19.388 -19.555
  59   0.004   0.008   0.009   0.008   0.009   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008
  60 -18.379 -18.912 -19.068 -19.300 -19.508 -19.718 -19.858 -19.914 -19.993 -20.068 -20.284 -20.380 -20.455 -20.551 -20.793 -21.219 -21.310 -21.374 -21.419 -21.554 -21.732 -21.873 -21.970 -22.028 -22.079 -22.145 -22.163 -22.241
  60   0.006   0.009   0.008   0.009   0.008   0.009   0.008   0.008   0.008   0.009   0.009   0.009   0.009   0.008   0.009   0.009   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.009   0.009   0.008   0.008   0.008
  61 -17.193 -17.492 -17.705 -17.994 -18.061 -18.123 -18.361 -18.615 -18.722 -18.881 -19.024 -19.124 -19.317 -19.463 -19.526 -19.573 -19.677 -19.744 -19.906 -19.981 -20.137 -20.223 -20.369 -20.643 -20.868 -20.903 -20.979 -21.030
  61   0.003   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004
  62 -14.437 -14.972 -15.512 -15.801 -16.153 -16.648 -17.006 -17.040 -17.248 -17.689 -18.039 -18.153 -18.372 -18.623 -18.846 -19.065 -19.281 -19.368 -19.453 -19.551 -19.620 -19.813 -19.988 -20.034 -20.127 -20.236 -20.318 -20.792
  62   0.005   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.007   0.008   0.007   0.008   0.008   0.008   0.007   0.008   0.008   0.008   0.008   0.008   0.008
  63 -17.697 -18.100 -18.200 -18.257 -18.505 -18.715 -18.830 -18.994 -19.094 -19.189 -19.396 -19.464 -19.520 -19.559 -19.646 -19.776 -19.885 -20.048 -20.122 -20.288 -20.551 -20.777 -20.827 -20.902 -20.931 -21.000 -21.164 -21.292
  63   0.005   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.007   0.008   0.009   0.009   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008
  64 -19.319 -19.560 -19.604 -19.697 -19.851 -19.880 -19.906 -19.950 -20.013 -20.193 -20.358 -20.439 -20.544 -20.742 -20.838 -20.881 -20.961 -20.981 -21.041 -21.151 -21.222 -21.269 -21.304 -21.341 -21.355 -21.394 -21.417 -21.410
  64   0.005   0.008   0.008   0.008   0.008   0.008   0.009   0.009   0.008   0.007   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.007   0.008   0.009   0.009
  65 -17.483 -17.818 -17.901 -18.253 -18.490 -18.593 -18.782 -18.934 -19.089 -19.280 -19.326 -19.384 -19.479 -19.561 -19.765 -19.839 -19.945 -20.054 -20.255 -20.631 -20.697 -20.773 -20.834 -20.891 -21.051 -21.193 -21.297 -21.368
  65   0.003   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.005   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004
  66 -17.965 -18.206 -18.522 -18.693 -18.827 -18.973 -19.071 -19.256 -19.372 -19.420 -19.478 -19.577 -19.703 -19.828 -19.966 -20.088 -20.215 -20.553 -20.716 -20.776 -20.861 -20.884 -21.018 -21.160 -21.272 -21.341 -21.381 -21.445
  66   0.001   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  67 -17.182 -17.266 -17.322 -17.512 -17.672 -17.789 -17.980 -18.235 -18.265 -18.300 -18.487 -18.739 -18.843 -18.983 -19.120 -19.219 -19.294 -19.497 -19.583 -19.645 -19.668 -19.761 -19.821 -19.946 -20.048 -20.170 -20.277 -20.402
  67   0.005   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.007   0.008   0.008   0.009   0.008   0.008   0.009   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008
  68 -18.247 -18.489 -18.746 -18.899 -19.029 -19.160 -19.258 -19.420 -19.527 -19.581 -19.645 -19.734 -19.846 -19.965 -20.146 -20.306 -20.424 -20.712 -20.847 -20.903 -20.992 -20.995 -21.106 -21.243 -21.337 -21.398 -21.436 -21.490
  68   0.001   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  69 -18.007 -18.280 -18.685 -18.887 -19.039 -19.226 -19.339 -19.556 -19.679 -19.747 -19.835 -19.915 -20.070 -20.213 -20.319 -20.378 -20.476 -20.868 -21.083 -21.150 -21.221 -21.282 -21.416 -21.561 -21.686 -21.753 -21.821 -21.864
  69   0.007   0.011   0.012   0.011   0.011   0.011   0.011   0.011   0.010   0.011   0.010   0.012   0.011   0.011   0.010   0.011   0.011   0.012   0.011   0.011   0.011   0.010   0.011   0.011   0.011   0.011   0.011   0.011
  70 -18.504 -18.959 -19.246 -19.469 -19.712 -19.847 -19.925 -20.015 -20.142 -20.353 -20.425 -20.498 -20.605 -21.062 -21.294 -21.366 -21.427 -21.521 -21.706 -21.848 -21.960 -22.029 -22.080 -22.153 -22.170 -22.250 -22.284 -22.273
  70   0.005   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.009   0.008   0.007   0.008   0.009   0.008   0.008   0.008   0.009   0.009   0.008   0.008   0.009   0.008   0.008   0.008
  71 -17.261 -17.543 -17.994 -18.458 -18.464 -18.561 -19.047 -19.422 -19.478 -19.706 -19.899 -20.015 -20.272 -20.392 -20.448 -20.507 -20.603 -20.671 -20.915 -20.934 -20.965 -21.021 -21.128 -21.539 -21.729 -21.778 -21.836 -21.870
  71   0.002   0.004   0.004   0.004   0.004   0.004   0.004   0.005   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.005   0.004
  72 -16.199 -15.888 -15.973 -16.154 -16.340 -16.503 -16.803 -17.045 -17.230 -17.424 -17.753 -17.856 -17.888 -18.038 -18.311 -18.510 -18.632 -18.821 -18.956 -19.042 -19.144 -19.385 -19.477 -19.563 -19.594 -19.642 -19.766 -19.815
  72   0.008   0.014   0.014   0.013   0.014   0.013   0.013   0.013   0.014   0.014   0.013   0.013   0.013   0.013   0.014   0.015   0.014   0.014   0.013     NaN     NaN   0.013   0.013   0.014   0.014   0.014   0.013   0.013
  73 -17.931 -17.982 -18.032 -18.187 -18.319 -18.401 -18.560 -18.742 -18.751 -18.792 -18.943 -19.134 -19.215 -19.323 -19.427 -19.504 -19.556 -19.704 -19.762 -19.797 -19.831 -19.909 -19.950 -20.069 -20.154 -20.276 -20.444 -20.583
  73   0.002   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.005   0.005   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004
  74 -16.948 -17.079 -17.258 -17.494 -17.617 -17.852 -18.265 -18.330 -18.333 -18.570 -18.987 -19.148 -19.259 -19.459 -19.655 -19.797 -19.990 -20.103 -20.157 -20.208 -20.310 -20.343 -20.551 -20.625 -20.695 -20.750 -20.865 -20.981
  74   0.005   0.008   0.008   0.009   0.008   0.007   0.008   0.008   0.008   0.009   0.009   0.008   0.008   0.008   0.008   0.007   0.008   0.008   0.008   0.009   0.008   0.009   0.009   0.009   0.009   0.009   0.009   0.009
  75 -18.082 -18.394 -18.461 -18.663 -18.866 -18.977 -19.121 -19.235 -19.339 -19.514 -19.578 -19.643 -19.718 -19.790 -19.923 -20.022 -20.204 -20.364 -20.471 -20.757 -20.890 -20.940 -21.034 -21.046 -21.123 -21.260 -21.361 -21.423
  75   0.001   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  76 -15.075 -15.737 -16.119 -16.385 -16.785 -17.064 -17.130 -17.310 -17.631 -17.855 -18.050 -18.271 -18.418 -18.530 -18.790 -18.931 -19.043 -19.073 -19.198 -19.276 -19.437 -19.545 -19.760 -19.805 -20.016 -20.216 -20.529 -20.599
  76   0.009   0.014   0.013   0.014   0.013   0.013   0.013   0.013   0.013   0.014   0.013   0.013   0.013   0.013   0.013   0.013   0.012   0.012   0.013   0.013   0.014   0.014   0.014   0.014   0.013   0.014   0.013   0.013
  77 -16.955 -17.455 -17.754 -17.670 -17.869 -18.316 -18.501 -18.638 -18.848 -19.029 -19.211 -19.414 -19.467 -19.531 -19.634 -19.698 -19.908 -19.954 -20.027 -20.105 -20.209 -20.632 -20.824 -20.878 -20.941 -20.965 -21.088 -21.237
  77   0.005   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.009   0.008   0.008   0.008   0.008   0.009   0.008   0.009   0.009   0.008   0.008   0.008   0.009   0.008   0.009
  78 -17.043 -17.162 -17.249 -17.460 -17.584 -17.726 -17.982 -18.194 -18.196 -18.283 -18.514 -18.748 -18.826 -18.977 -19.112 -19.211 -19.334 -19.540 -19.577 -19.648 -19.678 -19.787 -19.833 -20.012 -20.061 -20.235 -20.297 -20.444
  78   0.002   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004
  79 -19.686 -19.874 -19.993 -20.015 -20.039 -20.192 -20.206 -20.206 -20.229 -20.262 -20.330 -20.567 -20.608 -20.715 -20.796 -20.941 -20.966 -21.027 -21.041 -21.050 -21.093 -21.147 -21.196 -21.217 -21.246 -21.278 -21.309 -21.317
  79   0.002   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.005   0.004
  80 -17.064 -17.547 -17.823 -18.005 -18.210 -18.366 -18.557 -18.724 -18.814 -18.913 -19.008 -19.139 -19.282 -19.491 -19.678 -19.830 -20.139 -20.305 -20.411 -20.514 -20.553 -20.719 -20.892 -20.999 -21.088 -21.166 -21.261 -21.284
  80   0.005   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.007   0.008   0.008   0.009   0.009   0.008   0.008   0.008   0.009   0.008
  81 -18.251 -18.430 -18.622 -18.771 -18.746 -18.862 -19.079 -19.213 -19.326 -19.465 -19.546 -19.621 -19.789 -19.821 -19.889 -19.942 -19.984 -20.092 -20.191 -20.323 -20.513 -20.655 -20.783 -21.032 -21.083 -21.162 -21.191 -21.180
  81   0.010   0.015   0.016   0.017   0.017   0.017   0.016   0.016   0.015   0.017   0.016   0.017   0.016   0.016   0.016   0.016   0.017   0.016   0.017   0.017   0.016   0.016   0.016   0.017   0.016   0.016   0.017   0.017
  82 -18.682 -19.045 -19.137 -19.353 -19.492 -19.544 -19.602 -19.709 -19.853 -20.034 -20.138 -20.302 -20.620 -20.809 -20.893 -20.952 -21.020 -21.195 -21.335 -21.404 -21.449 -21.556 -21.546 -21.583 -21.642 -21.649 -21.660 -21.728
  82   0.009   0.013   0.014   0.013   0.014   0.013   0.015   0.014   0.015   0.014   0.014   0.014   0.014   0.014   0.013   0.013   0.014   0.013   0.013   0.014   0.014   0.013   0.013   0.014   0.013   0.013   0.013   0.015
  83 -17.640 -18.041 -18.140 -18.616 -18.879 -18.988 -19.199 -19.358 -19.517 -19.716 -19.774 -19.828 -19.924 -20.006 -20.209 -20.271 -20.357 -20.436 -20.579 -20.963 -21.028 -21.089 -21.150 -21.190 -21.324 -21.442 -21.519 -21.565
  83   0.003   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004
  84 -15.980 -16.153 -16.240 -16.514 -16.636 -16.863 -17.235 -17.540 -17.516 -17.626 -17.970 -18.317 -18.378 -18.550 -18.756 -18.930 -19.091 -19.319 -19.366 -19.443 -19.499 -19.604 -19.663 -19.894 -19.909 -20.018 -20.047 -20.167
  84   0.005   0.007   0.007   0.008   0.008   0.008   0.009   0.009   0.008   0.009   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.007   0.008   0.008   0.008   0.008   0.009   0.009   0.008
  85 -16.402 -16.419 -16.523 -16.573 -16.633 -16.852 -16.932 -17.137 -17.461 -17.784 -17.755 -17.777 -18.039 -18.430 -18.539 -18.656 -18.840 -18.981 -19.059 -19.267 -19.443 -19.460 -19.531 -19.569 -19.664 -19.718 -19.949 -19.948
  85   0.001   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  86 -17.067 -16.948 -17.017 -17.118 -17.195 -17.274 -17.478 -17.614 -17.742 -17.938 -18.199 -18.230 -18.239 -18.402 -18.667 -18.821 -18.927 -19.079 -19.193 -19.274 -19.394 -19.608 -19.646 -19.723 -19.741 -19.836 -19.902 -20.008
  86   0.004   0.008   0.009   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.009   0.008   0.008   0.009   0.009   0.009   0.009
  87 -18.221 -18.783 -18.957 -19.211 -19.445 -19.680 -19.841 -19.913 -20.005 -20.088 -20.310 -20.409 -20.487 -20.585 -20.828 -21.256 -21.348 -21.413 -21.460 -21.598 -21.777 -21.920 -22.018 -22.077 -22.129 -22.196 -22.215 -22.293
  87   0.005   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.009   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.009   0.009   0.008   0.008   0.008   0.008   0.009   0.009
  88 -20.363 -20.372 -20.404 -20.396 -20.448 -20.438 -20.473 -20.554 -20.542 -20.498 -20.535 -20.524 -20.525 -20.563 -21.052 -21.168 -20.934 -21.001 -21.017 -21.089 -21.099 -21.120 -21.110 -21.178 -21.133 -21.155 -21.170 -21.195
  88   0.003   0.004   0.004   0.005   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.005   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004
  89 -18.399 -18.724 -18.912 -19.030 -19.160 -19.253 -19.405 -19.509 -19.558 -19.623 -19.707 -19.829 -19.945 -20.122 -20.308 -20.436 -20.725 -20.819 -20.906 -20.962 -20.978 -21.117 -21.246 -21.318 -21.373 -21.411 -21.479 -21.466
  89   0.001   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  90 -16.042 -16.038 -16.153 -16.265 -16.311 -16.519 -16.716 -16.830 -17.072 -17.463 -17.626 -17.568 -17.706 -18.102 -18.420 -18.463 -18.652 -18.826 -18.957 -19.070 -19.340 -19.428 -19.491 -19.537 -19.631 -19.707 -19.813 -20.001
  90   0.002   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004
  91 -16.528 -17.105 -17.431 -17.363 -17.576 -18.049 -18.245 -18.410 -18.622 -18.783 -18.988 -19.220 -19.275 -19.345 -19.463 -19.539 -19.742 -19.798 -19.882 -19.958 -20.090 -20.487 -20.685 -20.750 -20.822 -20.856 -20.979 -21.135
  91   0.001   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  92 -17.571 -17.743 -17.882 -18.059 -18.368 -18.480 -18.454 -18.639 -19.026 -19.156 -19.285 -19.485 -19.601 -19.735 -19.952 -19.994 -20.079 -20.146 -20.218 -20.301 -20.513 -20.571 -20.669 -20.705 -20.797 -21.153 -21.361 -21.414
  92   0.007   0.012   0.012   0.011   0.011   0.011   0.011   0.013   0.012   0.011   0.011   0.011   0.011   0.011   0.011   0.011   0.011   0.011   0.011   0.011   0.011   0.011   0.011   0.011   0.011   0.012   0.011   0.012
  93 -16.693 -16.711 -16.834 -16.856 -17.034 -17.237 -17.330 -17.513 -17.840 -17.942 -17.906 -18.069 -18.404 -18.642 -18.697 -18.844 -19.006 -19.145 -19.278 -19.469 -19.498 -19.564 -19.610 -19.713 -19.746 -19.939 -20.001 -20.090
  93   0.005   0.008   0.008   0.008   0.008   0.008   0.007   0.008   0.008   0.007   0.008   0.008   0.009   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008
  94 -17.439 -17.819 -17.852 -18.147 -18.456 -18.561 -18.741 -18.891 -19.021 -19.241 -19.309 -19.372 -19.458 -19.532 -19.712 -19.794 -19.894 -20.001 -20.118 -20.500 -20.683 -20.741 -20.822 -20.858 -20.985 -21.125 -21.255 -21.338
  94   0.001   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  95 -17.621 -17.612 -17.708 -17.801 -17.945 -18.117 -18.186 -18.310 -18.535 -18.612 -18.611 -18.756 -18.971 -19.128 -19.194 -19.362 -19.454 -19.531 -19.613 -19.788 -19.795 -19.870 -19.917 -19.976 -20.005 -20.147 -20.214 -20.357
  95   0.009   0.016   0.017   0.017   0.017   0.017   0.016   0.016   0.017   0.016   0.015   0.017   0.016   0.018   0.016   0.014   0.015   0.016   0.016   0.017   0.017   0.016   0.016   0.016   0.015   0.016   0.017   0.017
  96 -17.457 -17.917 -18.176 -18.331 -18.538 -18.694 -18.794 -18.904 -18.986 -19.158 -19.301 -19.531 -19.731 -19.966 -20.226 -20.334 -20.449 -20.486 -20.642 -20.821 -20.938 -21.020 -21.115 -21.215 -21.239 -21.317 -21.358 -21.438
  96   0.010   0.014   0.017   0.017   0.016   0.016   0.016   0.016   0.017   0.017   0.018   0.017   0.015   0.015   0.018   0.015   0.018   0.016   0.016   0.016   0.015   0.016   0.017   0.017   0.016   0.018   0.017   0.017
  97 -18.278 -18.675 -18.898 -19.057 -19.163 -19.416 -19.544 -19.602 -19.672 -19.778 -19.930 -20.098 -20.223 -20.387 -20.642 -20.880 -20.954 -21.033 -21.063 -21.213 -21.368 -21.480 -21.510 -21.581 -21.667 -21.634 -21.713 -21.736
  97   0.008   0.013   0.013   0.013   0.014   0.013   0.013   0.013   0.013   0.014   0.014   0.012   0.012   0.013   0.012   0.014   0.014   0.013   0.014   0.014   0.014   0.014   0.014   0.013   0.013   0.014   0.013   0.013
  98 -18.460 -18.896 -19.126 -19.265 -19.510 -19.623 -19.722 -19.825 -19.917 -20.119 -20.229 -20.299 -20.406 -20.801 -21.024 -21.092 -21.170 -21.258 -21.418 -21.578 -21.665 -21.740 -21.793 -21.840 -21.855 -21.947 -21.916 -21.912
  98   0.007   0.011   0.011   0.010   0.011   0.010   0.010   0.011   0.011   0.011   0.010   0.011   0.011   0.011   0.011   0.011   0.011   0.010   0.010   0.010   0.011   0.012   0.011   0.011   0.011   0.011   0.011   0.012
